The number of new added basis functions: 34
((4, 5, 6, 7, 8), (4, 5, 5.6, 6, 7))
((3, 4, 4.3, 5, 6), (9, 10, 11, 12, 13))
((3, 4, 4.3, 5, 6), (10, 11, 12, 13, 14))
((3, 4, 4.3, 5, 6), (11, 12, 13, 14, 15))
((7, 8, 8.5, 9, 10), (11, 12, 13, 14, 15))
((1, 2, 3, 4, 5), (5, 6, 6.5, 7, 8))
((2, 3, 4, 5, 6), (5, 6, 6.5, 7, 8))
((3, 4, 5, 6, 7), (5, 6, 6.5, 7, 8))
((4, 5, 6, 7, 8), (5, 6, 6.5, 7, 8))
((5, 6, 7, 8, 9), (5, 6, 6.5, 7, 8))
((6, 7, 8, 9, 10), (5, 6, 6.5, 7, 8))
((7, 8, 9, 10, 11), (5, 6, 6.5, 7, 8))
((8, 9, 10, 11, 12), (5, 6, 6.5, 7, 8))
((11, 12, 13, 14, 15), (7, 8, 8.5, 9, 10))
((1, 2, 2.7, 3, 4), (3, 4, 5, 6, 7))
((1, 2, 2.7, 3, 4), (4, 5, 6, 7, 8))
((1, 2, 2.7, 3, 4), (5, 6, 7, 8, 9))
((1, 2, 2.7, 3, 4), (6, 7, 8, 9, 10))
((1, 2, 2.7, 3, 4), (7, 8, 9, 10, 11))
((1, 2, 2.7, 3, 4), (8, 9, 10, 11, 12))
((1, 2, 2.7, 3, 4), (9, 10, 11, 12, 13))
((1, 2, 2.7, 3, 4), (10, 11, 12, 13, 14))
((1, 2, 2.7, 3, 4), (11, 12, 13, 14, 15))
((1, 2, 2.7, 3, 4), (5, 6, 6.5, 7, 8))
((8, 9, 9.9, 10, 11), (2, 3, 4, 5, 6))
((8, 9, 9.9, 10, 11), (3, 4, 5, 6, 7))
((8, 9, 9.9, 10, 11), (4, 5, 6, 7, 8))
((8, 9, 9.9, 10, 11), (5, 6, 7, 8, 9))
((8, 9, 9.9, 10, 11), (6, 7, 8, 9, 10))
((8, 9, 9.9, 10, 11), (5, 6, 6.5, 7, 8))
((12, 13, 13.5, 14, 15), (7, 8, 9, 10, 11))
((12, 13, 13.5, 14, 15), (8, 9, 10, 11, 12))
((12, 13, 13.5, 14, 15), (9, 10, 11, 12, 13))
((12, 13, 13.5, 14, 15), (7, 8, 8.5, 9, 10))
