(1, 8, 6, 7, 12)
(0, 0, 4, 6, 9)
(0, 0, 1, 6, 12)
(1, 13, 6, 11, 15)
(0, 8, 6, 10, 14)
(1, 14, 4, 11, 15)
(1, 4, 4, 1, 15)
(1, 12, 7, 9, 14)
(0, 11, 2, 5, 8)
(0, 7, 5, 3, 8)
(1, 13, 4, 8, 15)
(1, 0, 6, 8, 12)
(1, 7, 9, 8, 12)
(1, 14, 2, 10, 14)
(1, 3, 5, 11, 15)
(0, 14, 3, 9, 13)
(1, 5, 5, 1, 13)
(1, 12, 5, 11, 15)
(0, 6, 3, 9, 14)
(0, 7, 6, 0, 4)
(1, 9, 8, 4, 12)
(0, 12, 6, 10, 14)
(1, 5, 5, 9, 12)
(1, 1, 3, 6, 10)
(0, 6, 2, 11, 14)
(0, 13, 8, 1, 8)
(0, 13, 4, 8, 12)
(0, 5, 9, 9, 13)
(0, 2, 9, 12, 15)
(1, 5, 8, 9, 13)
(0, 7, 7, 0, 8)
(0, 0, 2, 12, 15)
(1, 0, 7, 0, 7)
(1, 7, 6, 8, 12)
(0, 12, 6, 0, 10)
(0, 11, 3, 9, 13)
(1, 5, 5, 8, 15)
(0, 14, 9, 5, 15)
(1, 13, 5, 9, 13)
(1, 14, 6, 5, 11)
(1, 2, 6, 2, 8)
(1, 3, 6, 0, 5)
(0, 6, 9, 6, 12)
(0, 2, 7, 0, 7)
(0, 11, 3, 5, 10)
(0, 0, 5, 7, 14)
(0, 9, 8, 3, 13)
(1, 4, 3, 11, 15)
(0, 9, 9, 4, 13)
(0, 6, 3, 2, 6)
(0, 13, 5, 1, 4)
(0, 4, 9, 12, 15)
(0, 13, 5, 10, 15)
(1, 2, 4, 3, 12)
(0, 6, 6, 0, 3)
(0, 14, 6, 0, 12)
(1, 9, 4, 10, 15)
(1, 3, 8, 9, 14)
(0, 12, 6, 11, 14)
(0, 13, 4, 4, 7)
(0, 8, 1, 0, 13)
(0, 11, 9, 12, 15)
(0, 8, 7, 3, 13)
(0, 5, 6, 1, 14)
(0, 3, 3, 11, 15)
(1, 1, 8, 3, 8)
(0, 11, 5, 9, 14)
